,RAW,FREQ,FULL_NAME,ADDRESS,LOC_TYPE,STREET,CITY,STATE,ZIP,COUNTY_SYSTEM,STATUS,
118,SCENE 10454 S I,2,,,,,,,,,,
119,SCENE 1055 W CA,2,,,,,,,,,,
120,SCENE 10611 S.,2,,,,,,,,,,
121,SCENE 10801 S.,2,,,,,,,,,,
122,SCENE 10844 S E,2,,,,,,,,,,
123,SCENE 109 BOARD,2,,,,,,,,,,
124,SCENE 11100 SOU,2,,,,,,,,,,
125,SCENE 1111 ELMW,2,,,,,,,,,,
126,SCENE 11346 S C,2,,,,,,,,,,
127,SCENE 1136 N HA,2,,,,,,,,,,
128,SCENE 11400 S.,2,,,,,,,,,,
129,SCENE 11600 S.,2,,,,,,,,,,
130,SCENE 11601 S W,2,,,,,,,,,,
131,SCENE 1165 N MI,2,,,,,,,,,,
132,SCENE 119 E 120,2,,,,,,,,,,
133,SCENE 1209 S RA,2,,,,,,,,,,
134,SCENE 12134 S.,2,,,,,,,,,,
135,SCENE 1235 S WA,2,,,,,,,,,,
136,SCENE 127 S CEN,2,,,,,,,,,,
137,SCENE 13052 S.,2,,,,,,,,,,
